hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2017-08-17 06:00:00,302.4,312.0,301.9,308.95,2236.3226999999997,686304.89467,1155,104764,2975798.0421,84,267935.55233,4829,2381111.9709,25.058520618333333,2800.626599,545,537,63,1
2017-08-17 12:00:00,308.95,312.18,298.21,308.33,2670.812,820075.2888000001,1740,114975,4337173.2849,47,169325.03884,7808,3848280.7543,25.571989668333334,47332.2031,865,871,74,1
2017-08-17 18:00:00,308.33,311.53,298.96,302.0,1620.23441,496547.02996,1296,92596,4336002.9357,99,248779.87088600002,7403,3792822.6043000002,45.43916379666667,200000.0,1113,1082,121,0
2017-08-18 00:00:00,302.0,306.47,295.19,304.7,2660.25471,803974.1960700001,1523,121348,3760418.8665000005,80,187225.58674,6399,3232237.2188,31.858966511666665,4606.405288,680,698,71,0
2017-08-18 06:00:00,304.7,311.79,303.21,307.78,1975.8674700000001,606732.47885,1388,116678,3115130.6793,94,285873.89442,5028,2369607.1714,32.845947075,90000.0,551,540,80,1
2017-08-18 12:00:00,307.78,310.29,293.18,295.53,2122.08082,640008.59534,1280,117557,4272796.7332999995,70,178148.41785,6425,3517485.2332,66.27181731333333,100000.0,733,737,40,1
2017-08-18 18:00:00,295.53,298.25,283.94,293.96,2779.6434600000002,808231.23909,1467,87773,4503903.9609,87,139837.763822,7916,4141847.0515,27.556890228333334,9000.0,820,823,50,0
2017-08-19 00:00:00,293.31,299.9,291.87,293.23,360.19881,106496.87131,400,105849,2842462.3371,31,76931.423699,4759,2539810.5545,26.922501691666668,9000.0,499,507,37,1
2017-08-19 06:00:00,293.69,295.56,278.0,282.58,1296.31671,372914.80997,859,95893,2248201.8098,49,197545.40545000002,3586,1791747.0222999998,27.0445419,5000.0,453,440,68,0
2017-08-19 12:00:00,281.39,293.15,279.56,293.15,361.37869,103138.7462,345,94313,3593844.8547,94,249676.894155,5953,3078018.8066000002,24.314129341666668,8171.83727,682,700,76,0
2017-08-19 18:00:00,294.33,295.0,288.8,290.91,128.30352,37472.162362999996,191,81363,3069823.4067,50,115059.894114,5400,2802890.8851,25.108860206666666,1000.0,626,578,37,0
2017-08-20 00:00:00,289.41,293.15,285.39,292.17,117.95751999999999,34143.902179799996,195,90868,2314926.1519,25,64557.266488,3849,2058489.4019,25.332831235,2909.921599,484,499,45,1
2017-08-20 06:00:00,292.17,296.89,282.85,295.0,443.46536000000003,129160.674558,515,71958,1638975.3569999998,25,41129.926023,2833,1347404.6139,22.28733493,4000.0,317,299,52,0
2017-08-20 12:00:00,295.0,298.79,292.28,296.88,242.10102999999998,71598.29759999999,293,72936,2633435.3789999997,27,81002.384457,4759,2372781.4041,22.337016695,20000.0,567,572,55,0
2017-08-20 18:00:00,296.88,300.53,294.51,299.1,1706.6148,507945.02018,1035,74164,3500261.4902,38,555304.742088,4929,2763255.2085,20.93067071,2605.863045,552,561,31,0
2017-08-21 00:00:00,299.1,314.28,294.6,314.05,1255.97395,377988.16835,1068,102460,3814186.8839000002,87,1305153.72153,4408,2256157.3849,25.25321934,1814.0,462,485,55,0
2017-08-21 06:00:00,314.05,333.66,312.6,331.53,563.77999,180614.81458600002,856,99608,1687345.4889,74,188019.02682,3086,1141718.74554,24.205189458333333,1119.823161,642,670,116,0
2017-08-21 12:00:00,331.33,346.52,325.42,332.33,2013.45325,676595.16174,1149,101109,2341246.115,106,292734.15398,4650,1742032.7588900002,22.523755013333332,10000.0,1283,1360,99,1
2017-08-21 18:00:00,332.12,333.63,316.12,323.29,1386.23823,454274.196647,852,89703,4574750.9109000005,498,1042713.720139,8433,3276881.3309,19.78409821,10000.0,1540,1559,69,1
2017-08-22 00:00:00,321.04,330.41,144.21,279.96,987.82875,308003.635479,933,106904,2992060.4483,40,79935.049019,5338,2666301.0984,24.34676104,9576.386758,578,608,91,0
2017-08-22 06:00:00,302.99,313.16,285.69,308.03,2705.38403,826086.14719,2047,93931,2103139.0743,51,230279.20848,3076,1606164.9492000001,27.3498328,4446.0,433,413,100,0
2017-08-22 12:00:00,311.16,320.76,301.48,312.07,2459.41871,760656.21506,2072,84286,3253748.6589,88,189814.820289,5613,2859384.5565,21.585510666666664,6318.0,690,651,86,0
2017-08-22 18:00:00,313.99,315.25,305.08,309.8,1803.71939,559679.80562,1525,79606,3002948.9398999996,45,200341.437494,5156,2656306.0347,18.930175908333332,476.1904762,658,619,35,0
2017-08-23 00:00:00,312.25,324.99,309.41,316.74,1782.98551,564031.37304,1494,107302,2924324.8060999997,33,143562.63672,5037,2543966.5751,24.016157033333332,1515.0,621,624,58,0
2017-08-23 06:00:00,316.74,324.51,315.35,319.2,1967.2852,630472.56184,1665,95352,2642554.4503,60,196334.2757,4234,2166192.2385,24.0377862,6058.142052,523,514,41,0
2017-08-23 12:00:00,319.2,322.0,313.75,318.47,3166.46404,1003939.50694,4006,95541,3938464.6358,66,144665.089621,6782,3540878.0814,23.709231693333333,100000.0,736,751,47,0
2017-08-23 18:00:00,318.48,322.34,312.05,315.74,1748.99094,555021.5032800001,1375,76516,3524178.3955,37,104591.655326,6123,3250736.1245,21.120513883333334,9150.0,658,662,21,0
