hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2022-01-01 00:00:00,3676.22,3765.27,3676.22,3735.61,42063.2569,156672872.83,106799,282382,243753.09903,29,58125.172758999994,315,80654.117976,93.62334128166667,22618.03985,52,48,91,0
2022-01-01 06:00:00,3735.6,3742.67,3673.46,3693.37,35508.6474,131778978.07,103393,299541,238480.48619,22,83004.594291,272,70728.951936,65.90478583833332,19339.18164,46,44,83,0
2022-01-01 12:00:00,3693.38,3764.98,3691.88,3760.77,42768.8054,159331963.34,104501,305636,216207.87565,25,77461.4392,192,45098.583498,69.90987835333333,11876.47306,48,47,59,0
2022-01-01 18:00:00,3760.76,3776.45,3736.0,3765.54,33803.1871,126934514.22,93973,293430,397336.24662,33,249774.98222,183,40367.457469,97.57152992,20138.00903,40,44,66,0
2022-01-02 00:00:00,3765.54,3771.0,3717.3,3744.69,30410.9074,113967885.96,87611,285804,246671.14740000002,31,71953.118642,332,66232.335897,105.52544617333335,48663.09862,43,40,155,0
2022-01-02 06:00:00,3744.69,3770.0,3732.39,3744.01,24115.3337,90370031.29,81045,279674,201903.57027,12,63657.27328000001,200,44189.23009,73.46710626833332,13587.27721,39,39,46,0
2022-01-02 12:00:00,3744.06,3857.44,3730.33,3823.82,60464.778399999996,229487053.37,166028,313292,223294.00011999998,22,53154.696237,299,69280.881986,84.00627186333334,20619.26696,54,48,86,0
2022-01-02 18:00:00,3823.82,3840.02,3771.91,3828.27,39800.4068,151549987.11,115926,280130,176001.47566,8,14831.734668999998,208,51535.861208,143.25228781666667,18743.55551,45,40,57,0
2022-01-03 00:00:00,3828.11,3828.79,3775.7,3812.13,45850.9262,174298467.09,123565,296945,267721.76547,22,69842.526077,321,71938.544441,101.49485057833334,23823.25047,65,49,86,0
2022-01-03 06:00:00,3812.14,3845.0,3789.66,3834.61,44614.053400000004,170239335.22,110074,288314,291814.27851,25,107836.307705,292,77385.480569,86.93800395333334,22624.38856,57,54,57,0
2022-01-03 12:00:00,3834.61,3853.09,3735.2,3761.65,75337.4871,285739841.99,181658,321545,260062.45774,23,38443.092918,332,88882.08886999999,107.11975656833333,36086.56388,56,59,77,0
