hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label,Market_Regime
2021-01-01 00:00:00,736.42,749.0,729.33,740.65,164635.61493,122164878.38,120837,292300,496753.1218,70,177744.847124,563,159294.63528,62.30149426333333,31998.417,98,94,106,0,0
2021-01-01 06:00:00,740.72,743.25,725.1,738.85,166839.89887,122607418.88,129934,275487,555918.46216,40,243137.36681,609,160986.58721,54.54388491,107490.0,137,134,121,0,0
2021-01-01 12:00:00,738.85,743.33,726.57,727.94,184667.62894,135935303.7,124442,306949,594306.9656,81,253304.00796,618,167540.95649,77.84538114833333,54484.54711,112,102,140,0,0
2021-01-01 18:00:00,727.94,731.97,714.29,728.91,158970.95055,115364442.84,108458,261976,872478.90071,92,525288.6967,587,157374.22471,71.35866366833334,41200.0,111,106,174,0,1
2021-01-02 00:00:00,728.91,734.4,714.91,731.99,151645.01208,110170564.758,96379,279726,437259.98708,50,126306.73098300002,535,156390.95693,63.47933678500001,21304.00136,94,96,140,0,0
2021-01-02 06:00:00,731.99,740.49,723.01,729.7,185742.44574,135993791.24,120771,286034,426225.31403,48,133052.965008,508,139391.45652,53.14896489166667,34765.22966,85,85,105,0,0
2021-01-02 12:00:00,729.7,784.66,728.25,778.84,648528.35741,494987470.17,361818,313201,1021003.7931,123,368497.07715,1412,372494.68739,171.28942408333333,78761.22775,236,185,274,1,1
2021-01-02 18:00:00,778.77,787.69,750.12,774.56,366702.76152,283320356.49,245166,291878,691391.24451,86,229117.27626,903,227075.9558,113.35758364,27684.95375,146,134,186,0,0
2021-01-03 00:00:00,774.44,790.0,768.71,786.42,230242.05968,179388708.65,157817,278279,794950.41096,143,461966.64161,641,166300.47544,84.58250829,63100.0,143,129,113,0,0
2021-01-03 06:00:00,786.48,832.3,783.73,829.76,503767.7019,408881513.7,313984,327069,1076295.1378,143,412542.49864,1322,372321.57477,99.89779997333332,38273.37047,213,182,235,0,1
2021-01-03 12:00:00,829.77,978.0,826.38,935.54,1240713.12538,1133435085.1,647613,334154,2504828.1039,402,1335692.16195,2635,712167.57384,299.6999730566667,27605.62984,448,389,523,1,1
2021-01-03 18:00:00,935.65,1011.07,888.93,978.28,838880.9992,800706552.39,517087,294917,1474892.4111,237,639780.28684,1839,492206.57406,177.9707598,65496.21344,323,211,405,0,1
2021-01-04 00:00:00,978.33,1096.0,954.22,1084.18,779754.30719,787090090.9000001,525280,314488,1581302.9083,214,677557.08157,1945,530390.55701,213.29491496666665,31200.25392,276,227,258,1,1
2021-01-04 06:00:00,1084.45,1162.97,890.0,976.8,1825530.9956,1854320798.3,950619,347357,2794655.9232,434,1363728.9613,3256,880712.215,453.36615408333336,32970.62773,469,417,675,0,1
2021-01-04 12:00:00,976.97,1058.16,956.12,999.47,1181124.8205,1193439101.5,643930,332032,1929207.8415,264,1006556.08247,2072,550233.2382799999,212.80677225,37126.73338,291,259,378,0,1
2021-01-04 18:00:00,999.47,1049.7,992.7,1041.43,458600.81678,468784212.52,358033,281292,1335337.6153,135,735961.64993,1177,326804.24872,126.38858398333332,43804.64523,174,155,235,1,1
2021-01-05 00:00:00,1041.45,1134.6,974.45,989.83,1088289.7371,1150089401.8,741519,302685,1314908.1407,168,476867.77122,1898,519800.18043,184.80384286666663,28673.9105,238,225,403,0,1
2021-01-05 06:00:00,989.9,1050.93,979.03,1042.21,515108.22741,526813122.78,357058,335974,966205.4455,108,379679.34199,1230,319746.87516,108.46872811333331,30413.8457,192,159,205,1,1
2021-01-05 12:00:00,1042.23,1084.55,1001.0,1081.73,510945.33894,534540363.31000006,436633,328027,1218950.14,148,591494.03853,1272,340877.69123999996,140.65362177,44853.14734,196,181,251,1,1
2021-01-05 18:00:00,1081.99,1120.0,1040.0,1099.56,592652.3718900001,645607392.09,425293,291755,1288875.7837,220,634657.1441,1380,375515.86771,123.99092085,59600.91475,216,181,282,1,1
2021-01-06 00:00:00,1100.16,1135.02,1057.26,1101.81,523854.92248,572460970.5699999,397880,300849,927563.57513,145,372308.86770000006,1166,315412.70929,123.38002433333334,29601.61006,192,170,255,0,1
2021-01-06 06:00:00,1101.8,1166.58,1090.72,1151.88,573161.4071899999,641396350.19,365797,336897,1038544.9013,115,369431.99336,1471,396752.00642,110.77212654333334,16625.47238,211,184,276,0,1
2021-01-06 12:00:00,1151.88,1207.7,1121.0,1192.25,677155.95145,784650303.38,429962,338226,1806090.1604,182,1051812.08948,1590,453201.38902,141.93362779999998,60002.8166,220,214,256,1,1
2021-01-06 18:00:00,1192.27,1213.0,1116.61,1208.42,615964.31223,726754497.23,407249,304462,1883289.32976,166,1249748.67207,1390,368212.74724,123.84275708833331,73000.0,227,188,312,0,1
2021-01-07 00:00:00,1208.75,1224.11,1179.91,1207.27,386105.66083,465478733.78,281692,335282,1815679.7437,191,1225411.9252900002,1175,310101.81964,113.26634795,40576.13989,214,161,213,1,1
2021-01-07 06:00:00,1207.3,1210.93,1159.03,1201.12,353490.61242,420947639.06,271737,340464,1146895.63425,126,567465.551557,1198,329385.62781,100.08592519333332,92581.31573,174,166,240,0,1
2021-01-07 12:00:00,1201.32,1277.41,1197.64,1270.49,535508.78321,663528519.83,371449,336677,1183533.3719,158,468176.00933,1543,397201.08928,149.59185785,37300.72822,271,236,259,1,1
2021-01-07 18:00:00,1270.48,1289.0,1131.0,1224.87,697817.7642000001,856264998.75,477821,286145,1510532.148,186,842813.4362,1485,386699.75089,180.03624178333334,125998.3688,247,219,341,1,1
2021-01-08 00:00:00,1224.86,1233.0,1065.0,1148.12,603956.28137,695729234.05,500647,323513,1819519.2987,280,1089067.73383,1583,429528.16302,167.7396452333333,73184.75498,301,268,375,0,1
2021-01-08 06:00:00,1148.29,1270.24,1125.41,1255.43,511368.24717,619364390.16,385493,352240,990154.0202,147,386135.25035,1227,332378.07628000004,107.90787577333332,143947.6861,202,192,232,1,1
