hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2017-08-17 06:00:00,302.4,312.0,301.9,308.95,2236.3226999999997,686304.89467,1155,1
2017-08-17 12:00:00,308.95,312.18,298.21,308.33,2670.812,820075.2888000001,1740,1
2017-08-17 18:00:00,308.33,311.53,298.96,302.0,1620.23441,496547.02996,1296,0
2017-08-18 00:00:00,302.0,306.47,295.19,304.7,2660.25471,803974.1960700001,1523,0
2017-08-18 06:00:00,304.7,311.79,303.21,307.78,1975.8674700000001,606732.47885,1388,1
2017-08-18 12:00:00,307.78,310.29,293.18,295.53,2122.08082,640008.59534,1280,1
2017-08-18 18:00:00,295.53,298.25,283.94,293.96,2779.6434600000002,808231.23909,1467,0
2017-08-19 00:00:00,293.31,299.9,291.87,293.23,360.19881,106496.87131,400,1
2017-08-19 06:00:00,293.69,295.56,278.0,282.58,1296.31671,372914.80997,859,0
2017-08-19 12:00:00,281.39,293.15,279.56,293.15,361.37869,103138.7462,345,0
2017-08-19 18:00:00,294.33,295.0,288.8,290.91,128.30352,37472.162362999996,191,0
2017-08-20 00:00:00,289.41,293.15,285.39,292.17,117.95751999999999,34143.902179799996,195,1
2017-08-20 06:00:00,292.17,296.89,282.85,295.0,443.46536000000003,129160.674558,515,0
2017-08-20 12:00:00,295.0,298.79,292.28,296.88,242.10102999999998,71598.29759999999,293,0
2017-08-20 18:00:00,296.88,300.53,294.51,299.1,1706.6148,507945.02018,1035,0
2017-08-21 00:00:00,299.1,314.28,294.6,314.05,1255.97395,377988.16835,1068,0
2017-08-21 06:00:00,314.05,333.66,312.6,331.53,563.77999,180614.81458600002,856,0
2017-08-21 12:00:00,331.33,346.52,325.42,332.33,2013.45325,676595.16174,1149,1
2017-08-21 18:00:00,332.12,333.63,316.12,323.29,1386.23823,454274.196647,852,1
2017-08-22 00:00:00,321.04,330.41,144.21,279.96,987.82875,308003.635479,933,0
2017-08-22 06:00:00,302.99,313.16,285.69,308.03,2705.38403,826086.14719,2047,0
2017-08-22 12:00:00,311.16,320.76,301.48,312.07,2459.41871,760656.21506,2072,0
2017-08-22 18:00:00,313.99,315.25,305.08,309.8,1803.71939,559679.80562,1525,0
2017-08-23 00:00:00,312.25,324.99,309.41,316.74,1782.98551,564031.37304,1494,0
2017-08-23 06:00:00,316.74,324.51,315.35,319.2,1967.2852,630472.56184,1665,0
2017-08-23 12:00:00,319.2,322.0,313.75,318.47,3166.46404,1003939.50694,4006,0
2017-08-23 18:00:00,318.48,322.34,312.05,315.74,1748.99094,555021.5032800001,1375,0
2017-08-24 00:00:00,315.74,322.36,314.01,318.0,1639.78962,519157.53076,1404,0
2017-08-24 06:00:00,319.57,323.61,316.14,323.61,2165.96347,690921.90617,2060,0
2017-08-24 12:00:00,322.51,328.04,317.9,322.45,1545.59179,497302.91273,1809,0
2017-08-24 18:00:00,322.45,326.33,318.97,323.42,1401.92704,452034.76443,1222,0
2017-08-25 00:00:00,323.42,335.0,323.42,331.73,1975.2462,646812.99367,2087,0
2017-08-25 06:00:00,331.74,335.41,327.4,331.26,1746.63526,578075.43242,1427,0
2017-08-25 12:00:00,329.68,338.28,328.72,332.01,2298.40348,764685.80238,2880,0
2017-08-25 18:00:00,333.2,336.49,324.9,327.24,1105.68468,364587.80981999997,1058,0
2017-08-26 00:00:00,327.24,332.27,323.41,326.23,1051.6689099999999,342857.54279,1015,0
2017-08-26 06:00:00,325.23,331.25,324.06,327.89,1445.1486,473865.65434,1110,0
2017-08-26 12:00:00,328.25,335.44,324.06,331.04,1292.9197100000001,425133.51289,1163,0
2017-08-26 18:00:00,327.38,334.17,327.03,330.79,1087.9479900000001,360137.66731399996,1112,0
2017-08-27 00:00:00,332.18,338.29,330.79,335.0,1492.21504,498564.10198,1584,0
2017-08-27 06:00:00,332.75,338.42,330.73,333.94,1110.82399,371370.4204,1379,0
2017-08-27 12:00:00,333.93,339.14,331.88,337.56,1162.06717,389080.94294,1102,0
2017-08-27 18:00:00,339.89,348.13,336.02,348.13,870.33095,295461.89281,908,1
2017-08-28 00:00:00,348.11,351.0,331.95,336.01,1489.7174,509559.08575,1558,0
2017-08-28 06:00:00,337.19,342.86,336.01,341.9,1026.91347,348314.54929,1028,0
2017-08-28 12:00:00,339.62,347.41,339.34,340.49,950.77331,326189.80854,1145,0
2017-08-28 18:00:00,341.84,348.5,341.77,346.0,811.77752,279694.72559000005,795,0
2017-08-29 00:00:00,347.0,355.0,346.0,355.0,315.18574,110463.940479,505,0
2017-08-29 06:00:00,355.0,367.13,350.72,356.75,806.7275,289861.29922,970,0
2017-08-29 12:00:00,358.1,373.66,358.1,370.43,1127.20696,411305.68263,1006,0
2017-08-29 18:00:00,372.6,377.6,365.65,374.7,783.01405,290438.698225,784,0
2017-08-30 00:00:00,374.7,381.13,367.37,381.13,446.43987,166665.39144,734,1
2017-08-30 06:00:00,380.81,393.71,362.05,375.9,1700.21884,635318.41246,1624,0
2017-08-30 12:00:00,373.01,386.96,370.49,384.95,1435.47688,545100.19689,1562,0
